"Sample ID","Strain","IR Type","IR Location","Timepoint","Radiaion Dose_cGy","Focus Area","Condition","Description","Gender"
"TRX-XBC-0071","Balb_cJ","Xray","TBI","14","100","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0626","Balb_cJ","Xray","TBI","1","433","FA1","Training","TnE_Training_4Gy_FA1","Female"
"TRX-BCP-0044","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-XBC-0092","Balb_cJ","Xray","TBI","14","400","na","Control","Xray_Balb_Control","Female"
"TRX-TE-MSP-0877","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0652","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-BCP-0045","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0931","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-XBC-0083","Balb_cJ","Xray","TBI","14","200","na","Control","Xray_Balb_Control","Male"
"TRX-TE-MSP-0743","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-0823","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-TE-MSP-0898","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-TE-MSP-0879","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-XBC-0045","Balb_cJ","Xray","TBI","14","200","na","Control","Xray_Balb_Control","Female"
"TRX-TE-MSP-0677","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-TE-MSP-0834","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
"TRX-DIRP-0106","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-1029","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0949","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Male"
"TRX-TE-MSP-0640","Balb_cJ","Xray","TBI","130","433","FA2","Training","TnE_Training_4Gy_FA2","Male"
"TRX-TE-MSP-0713","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Female"
"TRX-DIRP-0107","C57BL6","pool","pool","pool","na","na","BatchRef","Diff_IR_Pelts_Pool","Male"
"TRX-TE-MSP-0880","Balb_cJ","Xray","na","na","na","FA2","Blinded","TnE_Phase1b_Blinded_FA2","Female"
"TRX-BCP-0046","Balb_cJ","pool","pool","pool","na","na","BatchQC","BalbC_Pool","Mix"
"TRX-TE-MSP-0582","Balb_cJ","Control","na","6","0","FA1","Training","TnE_Baseline_0Gy_FA1","Female"
"TRX-TE-MSP-0791","Balb_cJ","Xray","na","na","na","FA1","Blinded","TnE_Phase1b_Blinded_FA1","Male"
